scope,model_short,MAE,RMSE,MAPE
Aggregate,ARIMA,1035626.8975601426,1907666.717535927,58.8481771040758
Aggregate,ETS,977175.5972865343,1754619.6724228705,53.357732881870746
Aggregate,Prophet,71444.49780380886,96110.76351563497,8.395390594713124
GROCERY I,ARIMA,4605600.749569086,5158090.353578074,281.9121694589552
GROCERY I,ETS,426718.99835579586,500420.1630751774,25.960794242256753
GROCERY I,Prophet,29334.785628521822,49254.1408167528,21.778347468369045
BEVERAGES,ARIMA,1076468.3519318416,1179456.1741735826,85.48921751763612
BEVERAGES,ETS,386937.61829161283,451187.4735517871,30.621374451195333
BEVERAGES,Prophet,52214.51080452554,64652.16018040736,35.547638099759965
